graph,matrix type,start nodes proportion,query,method,run number,execution time in sec
pizza,csr,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,25,1.4952945420518517
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,1,19.73604950029403
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,1,1.625598874874413
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,2,19.74860733281821
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,2,1.7310462081804872
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,3,19.60213641729206
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,3,1.6933493330143392
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,4,19.611003750003874
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,4,1.626492042094469
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,5,19.69993495894596
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,5,1.7299512079916894
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,6,19.67996804183349
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,6,1.632917458191514
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,7,19.6333834589459
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,7,1.6360774589702487
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,8,19.75607612496242
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,8,1.7302323747426271
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,9,19.765297417063266
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,9,1.6267887917347252
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,10,19.695755457971245
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,10,1.6299137501046062
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,11,19.60343754198402
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,11,1.7198792081326246
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,12,19.720668083056808
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,12,1.6278982502408326
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,13,19.721303374972194
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,13,1.6303264168091118
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,14,19.700171208009124
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,14,1.717295667156577
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,15,19.713462749961764
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,15,1.6270610420033336
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,16,19.690539041999727
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,16,1.624182959087193
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,17,19.66688675014302
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,17,1.7012534579262137
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,18,19.681380375288427
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,18,1.6337409997358918
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,19,19.716461124829948
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,19,1.729054416064173
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,20,19.619771708268672
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,20,1.6967652081511915
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,21,19.661681666970253
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,21,1.6370699172839522
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,22,19.70545162493363
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,22,1.7274097921326756
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,23,19.800670917145908
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,23,1.6240430418401957
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,24,19.671805249992758
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,24,1.6356762079522014
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,25,19.684649916831404
pizza,csr,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,25,1.7260561250150204
pizza,csr,0.05,disjointWith*,tensor,1,1.307118291966617
pizza,csr,0.05,disjointWith*,bfs,1,1.1400437499396503
pizza,csr,0.05,disjointWith*,tensor,2,1.3078548326157033
pizza,csr,0.05,disjointWith*,bfs,2,1.137243916746229
pizza,csr,0.05,disjointWith*,tensor,3,1.3125688750296831
pizza,csr,0.05,disjointWith*,bfs,3,1.1352912499569356
pizza,csr,0.05,disjointWith*,tensor,4,1.3052241248078644
pizza,csr,0.05,disjointWith*,bfs,4,1.134734416846186
pizza,csr,0.05,disjointWith*,tensor,5,1.314887166954577
pizza,csr,0.05,disjointWith*,bfs,5,1.1320679998025298
pizza,csr,0.05,disjointWith*,tensor,6,1.3073287918232381
pizza,csr,0.05,disjointWith*,bfs,6,1.131678749807179
pizza,csr,0.05,disjointWith*,tensor,7,1.3187875840812922
pizza,csr,0.05,disjointWith*,bfs,7,1.127271874807775
pizza,csr,0.05,disjointWith*,tensor,8,1.311694041825831
pizza,csr,0.05,disjointWith*,bfs,8,1.129574041813612
pizza,csr,0.05,disjointWith*,tensor,9,1.312800332903862
pizza,csr,0.05,disjointWith*,bfs,9,1.1237743748351932
pizza,csr,0.05,disjointWith*,tensor,10,1.3086714171804488
pizza,csr,0.05,disjointWith*,bfs,10,1.1247916668653488
pizza,csr,0.05,disjointWith*,tensor,11,1.311759791802615
pizza,csr,0.05,disjointWith*,bfs,11,1.1249315422028303
pizza,csr,0.05,disjointWith*,tensor,12,1.3059027502313256
pizza,csr,0.05,disjointWith*,bfs,12,1.1226820410229266
pizza,csr,0.05,disjointWith*,tensor,13,1.3107197089120746
pizza,csr,0.05,disjointWith*,bfs,13,1.121990084182471
pizza,csr,0.05,disjointWith*,tensor,14,1.3066704999655485
pizza,csr,0.05,disjointWith*,bfs,14,1.117536291014403
pizza,csr,0.05,disjointWith*,tensor,15,1.3078430001623929
pizza,csr,0.05,disjointWith*,bfs,15,1.1128655839711428
pizza,csr,0.05,disjointWith*,tensor,16,1.3119944580830634
pizza,csr,0.05,disjointWith*,bfs,16,1.1156685831956565
pizza,csr,0.05,disjointWith*,tensor,17,1.31127291591838
pizza,csr,0.05,disjointWith*,bfs,17,1.1131451670080423
pizza,csr,0.05,disjointWith*,tensor,18,1.3118220423348248
pizza,csr,0.05,disjointWith*,bfs,18,1.1128806248307228
pizza,csr,0.05,disjointWith*,tensor,19,1.3117188750766218
pizza,csr,0.05,disjointWith*,bfs,19,1.1127255000174046
pizza,csr,0.05,disjointWith*,tensor,20,1.3116817916743457
pizza,csr,0.05,disjointWith*,bfs,20,1.1087872497737408
pizza,csr,0.05,disjointWith*,tensor,21,1.3108281660825014
pizza,csr,0.05,disjointWith*,bfs,21,1.1090792920440435
pizza,csr,0.05,disjointWith*,tensor,22,1.3081697500310838
pizza,csr,0.05,disjointWith*,bfs,22,1.1028294172137976
pizza,csr,0.05,disjointWith*,tensor,23,1.310234542004764
pizza,csr,0.05,disjointWith*,bfs,23,1.1111806659027934
pizza,csr,0.05,disjointWith*,tensor,24,1.3118505831807852
pizza,csr,0.05,disjointWith*,bfs,24,1.1061753341928124
